AY795965,2002-08-01,USA,MI,MI,USA,Unknown,Unknown,1a,WN02,AY795965,FDA CBER/DTTD/LMV,NS_NA_NCBI,Grinev et al,44.182205,-84.506836
KJ501251,2009,USA,MT,Flathead,USA,Corvus brachyrhynchos,Birds-Perching Birds,1a,WN02,KJ501251,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,48.424152,-114.15315
KJ501267,2005,USA,NV,Pershing,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,WN02,KJ501267,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,40.5685952,-118.4863963
KJ501341,2005,USA,CA,Glenn,USA,Haemorhous mexicanus,Birds-Perching Birds,1a,WN02,KJ501341,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,39.5218283,-122.0138651
KJ501342,2005,USA,CA,San-Diego,USA,Gymnogyps californianus,Birds-Hawks and Eagles,1a,WN02,KJ501342,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,32.715738,-117.1610838
KJ501329,2003,USA,ND,Morton,USA,Branta canadensis,Birds-Waterfowls,1a,WN02,KJ501329,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,46.6683872,-101.1621736
KJ501440,2008,USA,SD,Day,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,WN02,KJ501440,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,45.4167482,-97.7023716
KJ501242,2010,USA,MN,Swift,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,WN02,KJ501242,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,48.8533195,-95.2213442
KJ501442,2010,USA,AZ,Maricopa,USA,Haliaeetus leucocephalus,Birds-Hawks and Eagles,1a,WN02,KJ501442,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,33.0581063,-112.0476423
KJ501308,2010,USA,MN,Swift,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,WN02,KJ501308,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,48.8533195,-95.2213442
KJ501238,2008,USA,MN,Lacqui-Parle,USA,Larus delawarensis,Birds-Seabirds,1a,WN02,KJ501238,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,45.000514,-95.9061427
KJ501386,2007,USA,MT,Phillips,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,WN02,KJ501386,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,48.4519289,-107.8777779
KJ501500,2009,USA,MD,Talbot,USA,Larus smithsonianus,Birds-Seabirds,1a,WN02,KJ501500,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,38.7803973,-76.1319953
KJ501260,2008,USA,SD,Day,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,WN02,KJ501260,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,45.4167482,-97.7023716
KJ501518,2007,USA,MT,Phillips,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,SW03,KJ501518,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,48.4519289,-107.8777779
KJ501250,2009,USA,MT,Phillips,USA,Pelecanus erythrorhynchos,Birds-Seabirds,1a,SW03,KJ501250,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,48.4519289,-107.8777779
KJ501461,2005,USA,MT,Phillips,USA,Calidris alba,Birds-Shorebirds,1a,WN02,KJ501461,Broad Institute of MIT & Harvard,NS_NA_NCBI,Newman et al,48.4519289,-107.8777779
