strain	date	country	state	division	location	host	host_categories	clade_membership	strains	lineages	accessions	organization	DataSource	authors	journal	title	url	latitude	longitude	parent_id	parsimony	usher_annotation	autolin_proposal	lineage_name	Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	Level_7	Level_8
KY216155	2012-07-31	USA	NY	NY/Suffolk	USA	Culex pipiens	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	KY216155	Wadsworth Center New York State Department of Health	NS_NA_NCBI	Ehrbar et al	Infect. Genet. Evol. 51 (2017) In press	High levels of local inter- and intra-host genetic variation of West Nile virus and evidence of fine-scale evolutionary pressures	https://www.ncbi.nlm.nih.gov/pubmed/28411164	40.9849	-72.6151	node_1944	10	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1
JF920751	2008-XX-XX	USA	CT	CT/CT	USA	Culex restuans	Mosquitoes-Culex	Ia	SW03	I.a.4-NY99.WN02.SW03	JF920751|2008|USA|	Broad Institute of MIT and Harvard	NS_NA_NCBI	Henn et al	"Submitted (06-MAY-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/JF920751	41.599998	-72.699997	node_2980	21	I.a.4-NY99.SW03		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.SW03	I.a.4-NY99.SW03.4	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
JF957163	2006-XX-XX	USA	ID	ID/ID	USA	Unknown	Unknown	Ia	SW03	I.a.4-NY99.WN02.SW03	JF957163|2006|USA|	FDA/CBER	NS_NA_NCBI	Anez et al	"PLoS Negl Trop Dis 7 (5), E2245 (2013)"	"Evolutionary dynamics of west nile virus in the United States, 1999-2011: phylogeny, selection pressure and evolutionary time-scale analysis"	https://www.ncbi.nlm.nih.gov/pubmed/23738027	43.93	-114.24	node_2738	11	I.a.4-NY99.SW03		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.SW03	I.a.4-NY99.SW03.1	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
KX547558	2008-09-04	USA	NY	NY/Nassau	USA	Culex	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	KX547558	J. Craig Venter Institute	NS_NA_NCBI	Shabman et al	"Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547558	40.6546	-73.5594	node_1315	2	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.5.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.5	I.a.4-NY99.WN02.5.1	I.a.4-NY99.WN02.5.1	I.a.4-NY99.WN02.5.1	I.a.4-NY99.WN02.5.1	I.a.4-NY99.WN02.5.1
KP780837	2008-08-29	AUT	Unknown	AUT	Global	Nestor notabilis	Birds-Perching Birds	?	?	II	KP780837.1	Institute of Virology University of Veterinary Medicine Viral Zoonoses Emerging and Vector-Borne Infections Group	NCBI_Global	Bakonyi et al	"Vet. Microbiol. 183, 135-139 (2016)"	Chronic West Nile virus infection in kea (Nestor notabilis)	https://www.ncbi.nlm.nih.gov/pubmed/26790946	47.516231	14.550072	node_174	10	II	New	II.1.1	I.a	I.a.4-NY99	II	II.1	II.1.1	II.1.1	II.1.1	II.1.1
KJ501279	2002-XX-XX	USA	PA	PA/PA	USA	Cyanocitta cristata	Birds-Perching Birds	Ia	NY99	I.a.4-NY99	KJ501279|2002|USA|	Broad Institute of MIT & Harvard	NS_NA_NCBI	Newman et al	"Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501279	40.9699889	-77.727883	node_4536	3	I.a.4-NY99		I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99
KX547578	2005-10-18	USA	NYC	NYC/Queens	USA	Cyanocitta cristata	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	KX547578	J. Craig Venter Institute	NS_NA_NCBI	Shabman et al	"Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547578	40.742054	-73.769417	node_4386	11	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.10.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.10	I.a.4-NY99.WN02.10.1	I.a.4-NY99.WN02.10.1	I.a.4-NY99.WN02.10.1	I.a.4-NY99.WN02.10.1	I.a.4-NY99.WN02.10.1
OX442307	2020-08-13	DEU	Unknown	DEU	Global	Accipiter gentilis	Birds-Hawks and Eagles	?	?	II	OX442307.1	Friedrich-Loeffler-Institute Federal Research Institute for Animal Health Institute of Diagnostic Virology Suedufer 10 Greifswald - Insel Riems Mecklenburg - Western Pomerania 17493	NCBI_Global	et al	"Submitted (01-MAR-2023) Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493, Germany"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/OX442307	51.165691	10.451526	node_253	5	II	New	II.1.1.1.1.1	I.a	I.a.4-NY99	II	II.1	II.1.1	II.1.1.1	II.1.1.1.1	II.1.1.1.1.1
KT757319	2013-XX-XX	SRB	Unknown	SRB	Global	Culex pipiens	Mosquitoes-Culex	?	?	II	KT757319.1	University of Pecs Szentagothai Research Centre	NCBI_Global	Kemenesi et al	Unpublished	"Genetic characterization of West Nile virus lineage 2 strains from Serbia, 2013: first evidence of NS3249P mutation in the Balkanian Peninsula"	https://www.ncbi.nlm.nih.gov/nuccore/KT757319	44.016521	21.005859	node_506	0	II	New	II.1.3.2	I.a	I.a.4-NY99	II	II.1	II.1.3	II.1.3.2	II.1.3.2	II.1.3.2
GQ379157	2008-08-XX	USA	CA	CA/CA	USA	Corvus	Birds-Perching Birds	Ia	?	I.a.4-NY99	GQ379157.1	CDC DRS ADB	NCBI_Global	Fabbri et al	Unpublished	Complete genome sequences and phylogenetic analysis of two West Nile virus strains isolated from equines in Argentina in 2006	https://www.ncbi.nlm.nih.gov/nuccore/GQ379157	36.778259	-119.417931	node_3570	6	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2
OQ721161	2008-09-24	USA	CA	CA/CA	USA	Corvus brachyrhynchos	Birds-Perching Birds	?	?	I.a.4-NY99	OQ721161.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721161	36.778259	-119.417931	node_3535	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.3.3.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.3	I.a.4-NY99.WN02.2.3.3	I.a.4-NY99.WN02.2.3.3.1	I.a.4-NY99.WN02.2.3.3.1	I.a.4-NY99.WN02.2.3.3.1
